term_str,n,p,i,n_chars,max_pos_group,max_pos,stop,porter_stem,df,idf,dfidf
telling,8,8.560727661851257e-05,13.511907043519884,7,VB,VBG,0,tell,3.0,1.874469117916141,5.623407353748423
white,8,8.560727661851257e-05,13.511907043519884,5,JJ,JJ,0,white,3.0,1.874469117916141,5.623407353748423
against,8,8.560727661851257e-05,13.511907043519884,7,IN,IN,1,against,2.0,2.4594316186372973,4.918863237274595
bored,8,8.560727661851257e-05,13.511907043519884,5,JJ,JJ,0,bore,2.0,2.4594316186372973,4.918863237274595
pack,8,8.560727661851257e-05,13.511907043519884,4,VB,VB,0,pack,2.0,2.4594316186372973,4.918863237274595
loud,8,8.560727661851257e-05,13.511907043519884,4,JJ,JJ,0,loud,3.0,1.874469117916141,5.623407353748423
leaving,8,8.560727661851257e-05,13.511907043519884,7,VB,VBG,0,leav,4.0,1.4594316186372973,5.837726474549189
ring,8,8.560727661851257e-05,13.511907043519884,4,NN,NN,0,ring,4.0,1.4594316186372973,5.837726474549189
shut,8,8.560727661851257e-05,13.511907043519884,4,NN,NNP,0,shut,2.0,2.4594316186372973,4.918863237274595
romeo,8,8.560727661851257e-05,13.511907043519884,5,NN,NNP,0,romeo,2.0,2.4594316186372973,4.918863237274595
favorite,8,8.560727661851257e-05,13.511907043519884,8,JJ,JJ,0,favorit,2.0,2.4594316186372973,4.918863237274595
thinks,8,8.560727661851257e-05,13.511907043519884,6,VB,VBZ,0,think,3.0,1.874469117916141,5.623407353748423
city,8,8.560727661851257e-05,13.511907043519884,4,NN,NN,0,citi,4.0,1.4594316186372973,5.837726474549189
mr,8,8.560727661851257e-05,13.511907043519884,2,NN,NNP,0,mr,3.0,1.874469117916141,5.623407353748423
chains,8,8.560727661851257e-05,13.511907043519884,6,NN,NNS,0,chain,2.0,2.4594316186372973,4.918863237274595
problems,8,8.560727661851257e-05,13.511907043519884,8,NN,NNS,0,problem,3.0,1.874469117916141,5.623407353748423
word,8,8.560727661851257e-05,13.511907043519884,4,NN,NN,0,word,2.0,2.4594316186372973,4.918863237274595
walking,8,8.560727661851257e-05,13.511907043519884,7,VB,VBG,0,walk,4.0,1.4594316186372973,5.837726474549189
dreaming,8,8.560727661851257e-05,13.511907043519884,8,VB,VBG,0,dream,4.0,1.4594316186372973,5.837726474549189
forgotten,8,8.560727661851257e-05,13.511907043519884,9,VB,VBN,0,forgotten,2.0,2.4594316186372973,4.918863237274595
reach,8,8.560727661851257e-05,13.511907043519884,5,VB,VBP,0,reach,2.0,2.4594316186372973,4.918863237274595
keeps,8,8.560727661851257e-05,13.511907043519884,5,VB,VBZ,0,keep,3.0,1.874469117916141,5.623407353748423
silence,8,8.560727661851257e-05,13.511907043519884,7,NN,NN,0,silenc,3.0,1.874469117916141,5.623407353748423
ways,8,8.560727661851257e-05,13.511907043519884,4,NN,NNS,0,way,5.0,1.1375035237499351,5.687517618749675
comin,8,8.560727661851257e-05,13.511907043519884,5,NN,NN,0,comin,4.0,1.4594316186372973,5.837726474549189
heartbeat,8,8.560727661851257e-05,13.511907043519884,9,NN,NN,0,heartbeat,2.0,2.4594316186372973,4.918863237274595
pavements,8,8.560727661851257e-05,13.511907043519884,9,NN,NNS,0,pavement,1.0,3.4594316186372973,3.4594316186372973
saving,8,8.560727661851257e-05,13.511907043519884,6,VB,VBG,0,save,2.0,2.4594316186372973,4.918863237274595
surprise,8,8.560727661851257e-05,13.511907043519884,8,NN,NN,0,surpris,3.0,1.874469117916141,5.623407353748423
pulled,8,8.560727661851257e-05,13.511907043519884,6,VB,VBD,0,pull,1.0,3.4594316186372973,3.4594316186372973
which,8,8.560727661851257e-05,13.511907043519884,5,WD,WDT,1,which,5.0,1.1375035237499351,5.687517618749675
regrets,8,8.560727661851257e-05,13.511907043519884,7,NN,NNS,0,regret,3.0,1.874469117916141,5.623407353748423
breaks,8,8.560727661851257e-05,13.511907043519884,6,VB,VBZ,0,break,4.0,1.4594316186372973,5.837726474549189
mama,8,8.560727661851257e-05,13.511907043519884,4,NN,NN,0,mama,2.0,2.4594316186372973,4.918863237274595
read,8,8.560727661851257e-05,13.511907043519884,4,VB,VB,0,read,4.0,1.4594316186372973,5.837726474549189
ahead,8,8.560727661851257e-05,13.511907043519884,5,RB,RB,0,ahead,4.0,1.4594316186372973,5.837726474549189
players,8,8.560727661851257e-05,13.511907043519884,7,NN,NNS,0,player,2.0,2.4594316186372973,4.918863237274595
check,8,8.560727661851257e-05,13.511907043519884,5,VB,VBP,0,check,3.0,1.874469117916141,5.623407353748423
dirty,8,8.560727661851257e-05,13.511907043519884,5,NN,NN,0,dirti,2.0,2.4594316186372973,4.918863237274595
safe,8,8.560727661851257e-05,13.511907043519884,4,JJ,JJ,0,safe,5.0,1.1375035237499351,5.687517618749675
dressed,8,8.560727661851257e-05,13.511907043519884,7,VB,VBD,0,dress,4.0,1.4594316186372973,5.837726474549189
bar,8,8.560727661851257e-05,13.511907043519884,3,NN,NN,0,bar,2.0,2.4594316186372973,4.918863237274595
calm,8,8.560727661851257e-05,13.511907043519884,4,VB,VB,0,calm,2.0,2.4594316186372973,4.918863237274595
comfort,7,7.49063670411985e-05,13.704552121462278,7,VB,VB,0,comfort,2.0,2.4594316186372973,4.918863237274595
history,7,7.49063670411985e-05,13.704552121462278,7,NN,NN,0,histori,3.0,1.874469117916141,5.623407353748423
bloodline,7,7.49063670411985e-05,13.704552121462278,9,NN,NN,0,bloodlin,1.0,3.4594316186372973,3.4594316186372973
leads,7,7.49063670411985e-05,13.704552121462278,5,VB,VBZ,0,lead,2.0,2.4594316186372973,4.918863237274595
walls,7,7.49063670411985e-05,13.704552121462278,5,NN,NNS,0,wall,3.0,1.874469117916141,5.623407353748423
patient,7,7.49063670411985e-05,13.704552121462278,7,JJ,JJ,0,patient,2.0,2.4594316186372973,4.918863237274595
frozen,7,7.49063670411985e-05,13.704552121462278,6,JJ,JJ,0,frozen,3.0,1.874469117916141,5.623407353748423
sight,7,7.49063670411985e-05,13.704552121462278,5,NN,NN,0,sight,4.0,1.4594316186372973,5.837726474549189
mornin,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,mornin,2.0,2.4594316186372973,4.918863237274595
picked,7,7.49063670411985e-05,13.704552121462278,6,VB,VBD,0,pick,2.0,2.4594316186372973,4.918863237274595
maroon,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,maroon,1.0,3.4594316186372973,3.4594316186372973
sentence,7,7.49063670411985e-05,13.704552121462278,8,VB,VB,0,sentenc,1.0,3.4594316186372973,3.4594316186372973
champagne,7,7.49063670411985e-05,13.704552121462278,9,NN,NN,0,champagn,1.0,3.4594316186372973,3.4594316186372973
lying,7,7.49063670411985e-05,13.704552121462278,5,VB,VBG,0,lie,4.0,1.4594316186372973,5.837726474549189
breeze,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,breez,2.0,2.4594316186372973,4.918863237274595
everywhere,7,7.49063670411985e-05,13.704552121462278,10,RB,RB,0,everywher,2.0,2.4594316186372973,4.918863237274595
amistad,7,7.49063670411985e-05,13.704552121462278,7,NN,NNP,0,amistad,1.0,3.4594316186372973,3.4594316186372973
spinning,7,7.49063670411985e-05,13.704552121462278,8,VB,VBG,0,spin,3.0,1.874469117916141,5.623407353748423
gives,7,7.49063670411985e-05,13.704552121462278,5,VB,VBZ,0,give,2.0,2.4594316186372973,4.918863237274595
oohoohoohooh,7,7.49063670411985e-05,13.704552121462278,12,NN,NN,0,oohoohoohooh,3.0,1.874469117916141,5.623407353748423
jokes,7,7.49063670411985e-05,13.704552121462278,5,NN,NNS,0,joke,3.0,1.874469117916141,5.623407353748423
watchin,7,7.49063670411985e-05,13.704552121462278,7,NN,NN,0,watchin,1.0,3.4594316186372973,3.4594316186372973
fills,7,7.49063670411985e-05,13.704552121462278,5,VB,VBZ,0,fill,1.0,3.4594316186372973,3.4594316186372973
turnin,7,7.49063670411985e-05,13.704552121462278,6,VB,VBP,0,turnin,2.0,2.4594316186372973,4.918863237274595
heat,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,heat,2.0,2.4594316186372973,4.918863237274595
bill,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,bill,2.0,2.4594316186372973,4.918863237274595
few,7,7.49063670411985e-05,13.704552121462278,3,JJ,JJ,1,few,3.0,1.874469117916141,5.623407353748423
closer,7,7.49063670411985e-05,13.704552121462278,6,JJ,JJR,0,closer,2.0,2.4594316186372973,4.918863237274595
bright,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,bright,2.0,2.4594316186372973,4.918863237274595
grace,7,7.49063670411985e-05,13.704552121462278,5,VB,VBP,0,grace,2.0,2.4594316186372973,4.918863237274595
lead,7,7.49063670411985e-05,13.704552121462278,4,VB,VB,0,lead,3.0,1.874469117916141,5.623407353748423
burn,7,7.49063670411985e-05,13.704552121462278,4,VB,VB,0,burn,3.0,1.874469117916141,5.623407353748423
sent,7,7.49063670411985e-05,13.704552121462278,4,VB,VBD,0,sent,3.0,1.874469117916141,5.623407353748423
promised,7,7.49063670411985e-05,13.704552121462278,8,VB,VBN,0,promis,4.0,1.4594316186372973,5.837726474549189
died,7,7.49063670411985e-05,13.704552121462278,4,VB,VBD,0,die,2.0,2.4594316186372973,4.918863237274595
unhappy,7,7.49063670411985e-05,13.704552121462278,7,JJ,JJ,0,unhappi,1.0,3.4594316186372973,3.4594316186372973
bags,7,7.49063670411985e-05,13.704552121462278,4,NN,NNS,0,bag,1.0,3.4594316186372973,3.4594316186372973
worse,7,7.49063670411985e-05,13.704552121462278,5,JJ,JJR,0,wors,2.0,2.4594316186372973,4.918863237274595
wasted,7,7.49063670411985e-05,13.704552121462278,6,VB,VBN,0,wast,2.0,2.4594316186372973,4.918863237274595
pieces,7,7.49063670411985e-05,13.704552121462278,6,NN,NNS,0,piec,4.0,1.4594316186372973,5.837726474549189
bitter,7,7.49063670411985e-05,13.704552121462278,6,JJ,JJ,0,bitter,2.0,2.4594316186372973,4.918863237274595
remind,7,7.49063670411985e-05,13.704552121462278,6,VB,VB,0,remind,4.0,1.4594316186372973,5.837726474549189
woahoh,7,7.49063670411985e-05,13.704552121462278,6,JJ,JJ,0,woahoh,1.0,3.4594316186372973,3.4594316186372973
star,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,star,3.0,1.874469117916141,5.623407353748423
wipe,7,7.49063670411985e-05,13.704552121462278,4,JJ,JJ,0,wipe,3.0,1.874469117916141,5.623407353748423
somehow,7,7.49063670411985e-05,13.704552121462278,7,RB,RB,0,somehow,4.0,1.4594316186372973,5.837726474549189
age,7,7.49063670411985e-05,13.704552121462278,3,NN,NN,0,age,3.0,1.874469117916141,5.623407353748423
missed,7,7.49063670411985e-05,13.704552121462278,6,VB,VBN,0,miss,1.0,3.4594316186372973,3.4594316186372973
starts,7,7.49063670411985e-05,13.704552121462278,6,VB,VBZ,0,start,3.0,1.874469117916141,5.623407353748423
rest,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,rest,4.0,1.4594316186372973,5.837726474549189
sign,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,sign,3.0,1.874469117916141,5.623407353748423
cards,7,7.49063670411985e-05,13.704552121462278,5,NN,NNS,0,card,3.0,1.874469117916141,5.623407353748423
ha,7,7.49063670411985e-05,13.704552121462278,2,NN,NN,0,ha,3.0,1.874469117916141,5.623407353748423
yee,7,7.49063670411985e-05,13.704552121462278,3,PR,PRP,0,yee,1.0,3.4594316186372973,3.4594316186372973
tear,7,7.49063670411985e-05,13.704552121462278,4,VB,VB,0,tear,3.0,1.874469117916141,5.623407353748423
breaking,7,7.49063670411985e-05,13.704552121462278,8,VB,VBG,0,break,1.0,3.4594316186372973,3.4594316186372973
thirtyfour,7,7.49063670411985e-05,13.704552121462278,10,CD,CD,0,thirtyfour,1.0,3.4594316186372973,3.4594316186372973
scarlet,7,7.49063670411985e-05,13.704552121462278,7,RB,RB,0,scarlet,1.0,3.4594316186372973,3.4594316186372973
movin,7,7.49063670411985e-05,13.704552121462278,5,NN,NNP,0,movin,3.0,1.874469117916141,5.623407353748423
sick,7,7.49063670411985e-05,13.704552121462278,4,JJ,JJ,0,sick,3.0,1.874469117916141,5.623407353748423
lovers,7,7.49063670411985e-05,13.704552121462278,6,NN,NNS,0,lover,3.0,1.874469117916141,5.623407353748423
faith,7,7.49063670411985e-05,13.704552121462278,5,NN,NN,0,faith,2.0,2.4594316186372973,4.918863237274595
drama,7,7.49063670411985e-05,13.704552121462278,5,NN,NN,0,drama,4.0,1.4594316186372973,5.837726474549189
glass,7,7.49063670411985e-05,13.704552121462278,5,NN,NN,0,glass,4.0,1.4594316186372973,5.837726474549189
don92t,7,7.49063670411985e-05,13.704552121462278,6,VB,NNP,0,don92t,3.0,1.874469117916141,5.623407353748423
family,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,famili,3.0,1.874469117916141,5.623407353748423
beyond,7,7.49063670411985e-05,13.704552121462278,6,IN,IN,0,beyond,3.0,1.874469117916141,5.623407353748423
cupid,7,7.49063670411985e-05,13.704552121462278,5,NN,NNP,0,cupid,1.0,3.4594316186372973,3.4594316186372973
across,7,7.49063670411985e-05,13.704552121462278,6,IN,IN,0,across,3.0,1.874469117916141,5.623407353748423
green,7,7.49063670411985e-05,13.704552121462278,5,JJ,JJ,0,green,2.0,2.4594316186372973,4.918863237274595
grateful,7,7.49063670411985e-05,13.704552121462278,8,NN,NN,0,grate,1.0,3.4594316186372973,3.4594316186372973
coat,7,7.49063670411985e-05,13.704552121462278,4,NN,NN,0,coat,4.0,1.4594316186372973,5.837726474549189
doubts,7,7.49063670411985e-05,13.704552121462278,6,NN,NNS,0,doubt,1.0,3.4594316186372973,3.4594316186372973
reckless,7,7.49063670411985e-05,13.704552121462278,8,JJ,JJ,0,reckless,2.0,2.4594316186372973,4.918863237274595
future,7,7.49063670411985e-05,13.704552121462278,6,NN,NN,0,futur,5.0,1.1375035237499351,5.687517618749675
respect,7,7.49063670411985e-05,13.704552121462278,7,NN,NN,0,respect,3.0,1.874469117916141,5.623407353748423
follow,7,7.49063670411985e-05,13.704552121462278,6,VB,VBP,0,follow,2.0,2.4594316186372973,4.918863237274595
bleedin,7,7.49063670411985e-05,13.704552121462278,7,JJ,JJ,0,bleedin,1.0,3.4594316186372973,3.4594316186372973
admit,7,7.49063670411985e-05,13.704552121462278,5,VB,VB,0,admit,4.0,1.4594316186372973,5.837726474549189
decide,7,7.49063670411985e-05,13.704552121462278,6,VB,VBP,0,decid,4.0,1.4594316186372973,5.837726474549189
scream,7,7.49063670411985e-05,13.704552121462278,6,VB,NN,0,scream,2.0,2.4594316186372973,4.918863237274595
drifting,7,7.49063670411985e-05,13.704552121462278,8,VB,VBG,0,drift,1.0,3.4594316186372973,3.4594316186372973
needy,7,7.49063670411985e-05,13.704552121462278,5,JJ,JJ,0,needi,1.0,3.4594316186372973,3.4594316186372973
pray,7,7.49063670411985e-05,13.704552121462278,4,VB,VBP,0,pray,4.0,1.4594316186372973,5.837726474549189
wide,7,7.49063670411985e-05,13.704552121462278,4,JJ,JJ,0,wide,3.0,1.874469117916141,5.623407353748423
wreck,7,7.49063670411985e-05,13.704552121462278,5,NN,NNP,0,wreck,1.0,3.4594316186372973,3.4594316186372973
shame,7,7.49063670411985e-05,13.704552121462278,5,NN,NN,0,shame,4.0,1.4594316186372973,5.837726474549189
deny,7,7.49063670411985e-05,13.704552121462278,4,VB,VB,0,deni,3.0,1.874469117916141,5.623407353748423
low,6,6.420545746388443e-05,13.926944542798728,3,JJ,JJ,0,low,2.0,2.4594316186372973,4.918863237274595
asking,6,6.420545746388443e-05,13.926944542798728,6,VB,VBG,0,ask,3.0,1.874469117916141,5.623407353748423
rhythm,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,rhythm,3.0,1.874469117916141,5.623407353748423
ugly,6,6.420545746388443e-05,13.926944542798728,4,RB,RB,0,ugli,3.0,1.874469117916141,5.623407353748423
flying,6,6.420545746388443e-05,13.926944542798728,6,VB,VBG,0,fli,2.0,2.4594316186372973,4.918863237274595
says,6,6.420545746388443e-05,13.926944542798728,4,VB,VBZ,0,say,2.0,2.4594316186372973,4.918863237274595
prisoner,6,6.420545746388443e-05,13.926944542798728,8,NN,NN,0,prison,1.0,3.4594316186372973,3.4594316186372973
laid,6,6.420545746388443e-05,13.926944542798728,4,VB,VBD,0,laid,2.0,2.4594316186372973,4.918863237274595
covers,6,6.420545746388443e-05,13.926944542798728,6,VB,VBZ,0,cover,3.0,1.874469117916141,5.623407353748423
wound,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,wound,2.0,2.4594316186372973,4.918863237274595
scene,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,scene,2.0,2.4594316186372973,4.918863237274595
actress,6,6.420545746388443e-05,13.926944542798728,7,JJ,JJ,0,actress,2.0,2.4594316186372973,4.918863237274595
ginger,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,ginger,1.0,3.4594316186372973,3.4594316186372973
devil,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,devil,1.0,3.4594316186372973,3.4594316186372973
speechless,6,6.420545746388443e-05,13.926944542798728,10,VB,VB,0,speechless,2.0,2.4594316186372973,4.918863237274595
piece,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,piec,3.0,1.874469117916141,5.623407353748423
fears,6,6.420545746388443e-05,13.926944542798728,5,NN,NNS,0,fear,4.0,1.4594316186372973,5.837726474549189
august,6,6.420545746388443e-05,13.926944542798728,6,NN,NNP,0,august,1.0,3.4594316186372973,3.4594316186372973
pick,6,6.420545746388443e-05,13.926944542798728,4,VB,VB,0,pick,3.0,1.874469117916141,5.623407353748423
behave,6,6.420545746388443e-05,13.926944542798728,6,VB,VB,0,behav,2.0,2.4594316186372973,4.918863237274595
reminds,6,6.420545746388443e-05,13.926944542798728,7,VB,VBZ,0,remind,3.0,1.874469117916141,5.623407353748423
kinda,6,6.420545746388443e-05,13.926944542798728,5,FW,FW,0,kinda,2.0,2.4594316186372973,4.918863237274595
consider,6,6.420545746388443e-05,13.926944542798728,8,VB,VB,0,consid,2.0,2.4594316186372973,4.918863237274595
asked,6,6.420545746388443e-05,13.926944542798728,5,VB,VBD,0,ask,3.0,1.874469117916141,5.623407353748423
devotion,6,6.420545746388443e-05,13.926944542798728,8,NN,NN,0,devot,1.0,3.4594316186372973,3.4594316186372973
fade,6,6.420545746388443e-05,13.926944542798728,4,VB,VB,0,fade,4.0,1.4594316186372973,5.837726474549189
gently,6,6.420545746388443e-05,13.926944542798728,6,RB,RB,0,gentli,1.0,3.4594316186372973,3.4594316186372973
apologize,6,6.420545746388443e-05,13.926944542798728,9,VB,VB,0,apolog,1.0,3.4594316186372973,3.4594316186372973
laugh,6,6.420545746388443e-05,13.926944542798728,5,VB,IN,0,laugh,3.0,1.874469117916141,5.623407353748423
hoping,6,6.420545746388443e-05,13.926944542798728,6,VB,VBG,0,hope,4.0,1.4594316186372973,5.837726474549189
war,6,6.420545746388443e-05,13.926944542798728,3,NN,NNP,0,war,4.0,1.4594316186372973,5.837726474549189
having,6,6.420545746388443e-05,13.926944542798728,6,VB,VBG,1,have,2.0,2.4594316186372973,4.918863237274595
cross,6,6.420545746388443e-05,13.926944542798728,5,NN,NNP,0,cross,4.0,1.4594316186372973,5.837726474549189
become,6,6.420545746388443e-05,13.926944542798728,6,VB,VB,0,becom,3.0,1.874469117916141,5.623407353748423
worlds,6,6.420545746388443e-05,13.926944542798728,6,NN,NNS,0,world,4.0,1.4594316186372973,5.837726474549189
however,6,6.420545746388443e-05,13.926944542798728,7,RB,RB,0,howev,1.0,3.4594316186372973,3.4594316186372973
count,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,count,2.0,2.4594316186372973,4.918863237274595
click,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,click,1.0,3.4594316186372973,3.4594316186372973
secrets,6,6.420545746388443e-05,13.926944542798728,7,NN,NNS,0,secret,5.0,1.1375035237499351,5.687517618749675
wanting,6,6.420545746388443e-05,13.926944542798728,7,VB,VBG,0,want,2.0,2.4594316186372973,4.918863237274595
tshirt,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,tshirt,1.0,3.4594316186372973,3.4594316186372973
climbin,6,6.420545746388443e-05,13.926944542798728,7,NN,NN,0,climbin,1.0,3.4594316186372973,3.4594316186372973
breathless,6,6.420545746388443e-05,13.926944542798728,10,JJ,JJ,0,breathless,3.0,1.874469117916141,5.623407353748423
exlovers,6,6.420545746388443e-05,13.926944542798728,8,NN,NNS,0,exlov,1.0,3.4594316186372973,3.4594316186372973
boyfriend,6,6.420545746388443e-05,13.926944542798728,9,NN,NN,0,boyfriend,1.0,3.4594316186372973,3.4594316186372973
drop,6,6.420545746388443e-05,13.926944542798728,4,VB,VB,0,drop,2.0,2.4594316186372973,4.918863237274595
vibin,6,6.420545746388443e-05,13.926944542798728,5,VB,VBP,0,vibin,1.0,3.4594316186372973,3.4594316186372973
pouring,6,6.420545746388443e-05,13.926944542798728,7,VB,VBG,0,pour,2.0,2.4594316186372973,4.918863237274595
book,6,6.420545746388443e-05,13.926944542798728,4,NN,NN,0,book,2.0,2.4594316186372973,4.918863237274595
spare,6,6.420545746388443e-05,13.926944542798728,5,NN,NNP,0,spare,2.0,2.4594316186372973,4.918863237274595
patience,6,6.420545746388443e-05,13.926944542798728,8,NN,NN,0,patienc,2.0,2.4594316186372973,4.918863237274595
studio,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,studio,2.0,2.4594316186372973,4.918863237274595
ago,6,6.420545746388443e-05,13.926944542798728,3,RB,RB,0,ago,3.0,1.874469117916141,5.623407353748423
fix,6,6.420545746388443e-05,13.926944542798728,3,NN,NN,0,fix,3.0,1.874469117916141,5.623407353748423
bedroom,6,6.420545746388443e-05,13.926944542798728,7,NN,NN,0,bedroom,2.0,2.4594316186372973,4.918863237274595
jeans,6,6.420545746388443e-05,13.926944542798728,5,NN,NNS,0,jean,2.0,2.4594316186372973,4.918863237274595
breaths,6,6.420545746388443e-05,13.926944542798728,7,NN,NNS,0,breath,1.0,3.4594316186372973,3.4594316186372973
ladies,6,6.420545746388443e-05,13.926944542798728,6,NN,NNS,0,ladi,4.0,1.4594316186372973,5.837726474549189
blind,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,blind,3.0,1.874469117916141,5.623407353748423
scarf,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,scarf,2.0,2.4594316186372973,4.918863237274595
muc0u1077,6,6.420545746388443e-05,13.926944542798728,9,NN,NN,0,muc0u1077,3.0,1.874469117916141,5.623407353748423
bones,6,6.420545746388443e-05,13.926944542798728,5,NN,NNS,0,bone,3.0,1.874469117916141,5.623407353748423
ladyboy,6,6.420545746388443e-05,13.926944542798728,7,NN,NN,0,ladyboy,1.0,3.4594316186372973,3.4594316186372973
mystery,6,6.420545746388443e-05,13.926944542798728,7,NN,NN,0,mysteri,3.0,1.874469117916141,5.623407353748423
tellin,6,6.420545746388443e-05,13.926944542798728,6,JJ,JJ,0,tellin,3.0,1.874469117916141,5.623407353748423
train,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,train,3.0,1.874469117916141,5.623407353748423
probably,6,6.420545746388443e-05,13.926944542798728,8,RB,RB,0,probabl,4.0,1.4594316186372973,5.837726474549189
slut,6,6.420545746388443e-05,13.926944542798728,4,NN,NN,0,slut,2.0,2.4594316186372973,4.918863237274595
taylor92s,6,6.420545746388443e-05,13.926944542798728,9,NN,NNP,0,taylor92,2.0,2.4594316186372973,4.918863237274595
crime,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,crime,3.0,1.874469117916141,5.623407353748423
answer,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,answer,3.0,1.874469117916141,5.623407353748423
somewhere,6,6.420545746388443e-05,13.926944542798728,9,RB,RB,0,somewher,5.0,1.1375035237499351,5.687517618749675
guy,6,6.420545746388443e-05,13.926944542798728,3,NN,NN,0,guy,2.0,2.4594316186372973,4.918863237274595
lalala,6,6.420545746388443e-05,13.926944542798728,6,JJ,JJ,0,lalala,1.0,3.4594316186372973,3.4594316186372973
heal,6,6.420545746388443e-05,13.926944542798728,4,VB,VB,0,heal,1.0,3.4594316186372973,3.4594316186372973
mirror,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,mirror,3.0,1.874469117916141,5.623407353748423
fools,6,6.420545746388443e-05,13.926944542798728,5,NN,NNS,0,fool,1.0,3.4594316186372973,3.4594316186372973
fame,6,6.420545746388443e-05,13.926944542798728,4,NN,NN,0,fame,3.0,1.874469117916141,5.623407353748423
selfinflict,6,6.420545746388443e-05,13.926944542798728,11,NN,NN,0,selfinflict,1.0,3.4594316186372973,3.4594316186372973
colors,6,6.420545746388443e-05,13.926944542798728,6,NN,NNS,0,color,4.0,1.4594316186372973,5.837726474549189
spinnin,6,6.420545746388443e-05,13.926944542798728,7,VB,VBP,0,spinnin,1.0,3.4594316186372973,3.4594316186372973
fair,6,6.420545746388443e-05,13.926944542798728,4,JJ,JJ,0,fair,4.0,1.4594316186372973,5.837726474549189
naturally,6,6.420545746388443e-05,13.926944542798728,9,RB,RB,0,natur,2.0,2.4594316186372973,4.918863237274595
illuminates,6,6.420545746388443e-05,13.926944542798728,11,VB,VBZ,0,illumin,1.0,3.4594316186372973,3.4594316186372973
danger,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,danger,4.0,1.4594316186372973,5.837726474549189
its,6,6.420545746388443e-05,13.926944542798728,3,PR,PRP$,1,it,4.0,1.4594316186372973,5.837726474549189
sleeping,6,6.420545746388443e-05,13.926944542798728,8,VB,VBG,0,sleep,4.0,1.4594316186372973,5.837726474549189
calls,6,6.420545746388443e-05,13.926944542798728,5,VB,VBZ,0,call,4.0,1.4594316186372973,5.837726474549189
arrow,6,6.420545746388443e-05,13.926944542798728,5,NN,NN,0,arrow,1.0,3.4594316186372973,3.4594316186372973
grey,6,6.420545746388443e-05,13.926944542798728,4,NN,NN,0,grey,1.0,3.4594316186372973,3.4594316186372973
haunted,6,6.420545746388443e-05,13.926944542798728,7,VB,VBN,0,haunt,3.0,1.874469117916141,5.623407353748423
healthy,6,6.420545746388443e-05,13.926944542798728,7,JJ,JJ,0,healthi,1.0,3.4594316186372973,3.4594316186372973
vault,6,6.420545746388443e-05,13.926944542798728,5,NN,NNP,0,vault,2.0,2.4594316186372973,4.918863237274595
flames,6,6.420545746388443e-05,13.926944542798728,6,NN,NNS,0,flame,2.0,2.4594316186372973,4.918863237274595
watched,6,6.420545746388443e-05,13.926944542798728,7,VB,VBD,0,watch,3.0,1.874469117916141,5.623407353748423
already,6,6.420545746388443e-05,13.926944542798728,7,RB,RB,0,alreadi,2.0,2.4594316186372973,4.918863237274595
la,6,6.420545746388443e-05,13.926944542798728,2,NN,NNP,0,la,3.0,1.874469117916141,5.623407353748423
pour,6,6.420545746388443e-05,13.926944542798728,4,VB,VBZ,0,pour,3.0,1.874469117916141,5.623407353748423
reminded,6,6.420545746388443e-05,13.926944542798728,8,VB,VBN,0,remind,2.0,2.4594316186372973,4.918863237274595
likuc0u1077,6,6.420545746388443e-05,13.926944542798728,11,JJ,JJ,0,likuc0u1077,3.0,1.874469117916141,5.623407353748423
cheeks,6,6.420545746388443e-05,13.926944542798728,6,NN,NN,0,cheek,2.0,2.4594316186372973,4.918863237274595
whispered,6,6.420545746388443e-05,13.926944542798728,9,VB,VBD,0,whisper,2.0,2.4594316186372973,4.918863237274595
rising,6,6.420545746388443e-05,13.926944542798728,6,NN,VBG,0,rise,3.0,1.874469117916141,5.623407353748423
